miRNA,coefficient,HR,CI_95%,p_value_wald_test
hsa-miR-6845-3p,2.65,14.16,4.53-44.22,5.07E-06
hsa-miR-509-3-5p,2.4,11.02,2.99-40.6,3.11E-04
hsa-miR-516a-5p,2.03,7.63,2.53-23.01,3.11E-04
hsa-miR-514b-3p,1.93,6.92,2.42-19.82,3.11E-04
hsa-miR-767-3p,1.93,6.9,2.63-18.09,8.58E-05
hsa-miR-519b-3p,1.74,5.68,2.21-14.62,3.11E-04
hsa-miR-514a-5p,1.71,5.52,2.68-11.38,3.70E-06
hsa-miR-875-5p,1.51,4.51,1.05-19.32,4.24E-02
hsa-miR-572,1.45,4.27,1.68-10.88,2.35E-03
hsa-miR-510-3p,1.43,4.19,2.2-8,1.35E-05
hsa-miR-374c-3p,1.2,3.33,1.75-6.33,2.41E-04
hsa-miR-4773,1.19,3.28,1.88-5.75,3.12E-05
hsa-miR-7151-5p,1.15,3.17,1.17-8.56,2.30E-02
hsa-miR-520a-3p,1.12,3.06,1.58-5.92,8.92E-04
hsa-miR-518c-3p,1.07,2.9,1.64-5.16,2.72E-04
hsa-miR-639,1.01,2.74,1.02-7.37,4.58E-02
hsa-miR-1298-3p,1,2.71,1.15-6.4,2.33E-02
hsa-miR-105-5p,0.94,2.56,1.59-4.13,1.10E-04
hsa-miR-7156-5p,0.94,2.56,1.55-4.22,2.28E-04
hsa-miR-6781-5p,0.94,2.55,1.1-5.92,2.94E-02
hsa-miR-4489,0.9,2.46,1.52-3.99,2.60E-04
hsa-miR-552-5p,0.88,2.41,1.08-5.37,3.22E-02
hsa-miR-4482-5p,0.87,2.38,1.25-4.54,8.39E-03
hsa-miR-6825-5p,0.79,2.21,1.37-3.57,1.15E-03
hsa-miR-3622a-3p,0.78,2.19,1.33-3.61,2.20E-03
hsa-miR-4762-5p,0.75,2.13,1.3-3.47,2.62E-03
hsa-miR-4517,0.75,2.12,1.13-3.97,1.95E-02
hsa-miR-514b-5p,0.74,2.09,1.4-3.11,3.15E-04
hsa-miR-598-5p,0.73,2.07,1.02-4.22,4.39E-02
hsa-miR-5586-3p,0.72,2.06,1.01-4.18,4.55E-02
hsa-miR-6875-5p,0.68,1.97,1.25-3.09,3.35E-03
hsa-miR-4435,0.62,1.85,1.17-2.95,9.01E-03
hsa-miR-137,0.59,1.81,1.04-3.16,3.66E-02
hsa-miR-3064-3p,0.59,1.81,1.31-2.5,3.55E-04
hsa-miR-873-5p,0.57,1.77,1.26-2.5,9.79E-04
hsa-miR-4766-5p,0.56,1.76,1.32-2.34,1.18E-04
hsa-miR-513c-5p,0.55,1.74,1.3-2.33,2.08E-04
hsa-miR-328-5p,0.54,1.72,1.35-2.19,1.09E-05
hsa-miR-6722-3p,0.52,1.69,1.01-2.81,4.41E-02
hsa-miR-508-5p,0.51,1.67,1.27-2.2,2.42E-04
hsa-miR-511-3p,0.51,1.66,1.15-2.4,7.13E-03
hsa-miR-5579-3p,0.5,1.64,1.02-2.66,4.27E-02
hsa-miR-4446-3p,0.48,1.62,1.21-2.17,1.33E-03
hsa-miR-6505-3p,0.47,1.59,1.11-2.29,1.18E-02
hsa-miR-124-5p,0.46,1.58,1.07-2.33,2.09E-02
hsa-miR-506-3p,0.45,1.57,1.2-2.05,8.79E-04
hsa-miR-1234-3p,0.43,1.53,1.05-2.24,2.82E-02
hsa-miR-4714-3p,0.43,1.53,1.02-2.31,4.00E-02
hsa-miR-4664-5p,0.41,1.51,1.15-1.99,3.11E-03
hsa-miR-197-5p,0.4,1.49,1.09-2.04,1.27E-02
hsa-miR-584-3p,0.39,1.48,1.16-1.89,1.38E-03
hsa-miR-3619-5p,0.34,1.41,1.04-1.91,2.55E-02
hsa-miR-636,0.34,1.4,1.04-1.88,2.55E-02
hsa-miR-6741-3p,0.32,1.38,1.08-1.75,8.81E-03
hsa-miR-500b-3p,0.32,1.37,1.17-1.6,7.58E-05
hsa-miR-6775-3p,0.3,1.35,1.02-1.79,3.33E-02
hsa-miR-362-5p,0.3,1.34,1.18-1.53,6.97E-06
hsa-miR-4804-5p,0.29,1.34,1.03-1.75,2.93E-02
hsa-miR-3934-5p,0.28,1.32,1.02-1.7,3.21E-02
hsa-miR-6726-3p,0.26,1.3,1.06-1.58,1.08E-02
hsa-let-7b-3p,0.25,1.29,1.14-1.46,8.62E-05
hsa-miR-188-3p,0.26,1.29,1.09-1.53,2.90E-03
hsa-miR-188-5p,0.25,1.28,1.13-1.45,1.35E-04
hsa-let-7b-5p,0.24,1.27,1.1-1.46,8.52E-04
hsa-miR-362-3p,0.24,1.27,1.11-1.45,4.69E-04
hsa-miR-6733-3p,0.24,1.27,1.05-1.54,1.39E-02
hsa-miR-532-5p,0.23,1.26,1.1-1.43,5.34E-04
hsa-miR-548j-5p,0.23,1.26,1.04-1.51,1.61E-02
hsa-miR-660-5p,0.23,1.26,1.1-1.45,9.57E-04
hsa-miR-7112-3p,0.23,1.26,1.04-1.52,1.70E-02
hsa-miR-760,0.23,1.26,1.08-1.46,2.63E-03
hsa-miR-7702,0.23,1.26,1.03-1.54,2.68E-02
hsa-miR-18a-3p,0.22,1.25,1.06-1.48,9.56E-03
hsa-miR-500a-5p,0.22,1.25,1.1-1.42,8.09E-04
hsa-miR-194-5p,0.21,1.24,1.05-1.46,1.27E-02
hsa-miR-500a-3p,0.22,1.24,1.09-1.42,1.26E-03
hsa-miR-501-3p,0.21,1.24,1.1-1.39,3.05E-04
hsa-miR-532-3p,0.21,1.24,1.09-1.41,1.32E-03
hsa-miR-106a-3p,0.2,1.23,1.03-1.47,2.52E-02
hsa-miR-155-3p,0.21,1.23,1.1-1.38,3.18E-04
hsa-miR-502-3p,0.2,1.23,1.06-1.42,5.38E-03
hsa-miR-1273h-5p,0.19,1.21,1.03-1.42,2.28E-02
hsa-miR-33b-5p,0.19,1.21,1.03-1.41,2.06E-02
hsa-miR-3614-5p,0.19,1.21,1.06-1.37,3.72E-03
hsa-miR-4661-5p,0.19,1.21,1.04-1.39,1.20E-02
hsa-miR-501-5p,0.19,1.21,1.05-1.4,8.70E-03
hsa-miR-6731-3p,0.19,1.21,1.03-1.44,2.46E-02
hsa-miR-1269a,0.18,1.2,1.09-1.32,3.23E-04
hsa-miR-155-5p,0.18,1.2,1.05-1.37,6.52E-03
hsa-miR-15b-3p,0.18,1.2,1.02-1.42,3.28E-02
hsa-miR-17-5p,0.18,1.2,1.02-1.41,3.08E-02
hsa-miR-24-3p,0.18,1.2,1.01-1.41,3.38E-02
hsa-miR-29b-2-5p,0.19,1.2,1-1.45,4.50E-02
hsa-miR-3614-3p,0.17,1.19,1.03-1.37,2.03E-02
hsa-miR-4473,0.17,1.19,1.04-1.35,1.07E-02
hsa-miR-629-3p,0.17,1.19,1.02-1.38,2.86E-02
hsa-miR-1249-3p,0.17,1.18,1.03-1.36,2.00E-02
hsa-miR-151a-5p,0.17,1.18,1.07-1.3,9.49E-04
hsa-miR-3200-3p,0.17,1.18,1.03-1.36,2.06E-02
hsa-miR-4510,0.16,1.18,1.01-1.38,3.79E-02
hsa-miR-514a-3p,0.16,1.18,1.03-1.35,1.56E-02
hsa-miR-5698,0.16,1.18,1.01-1.37,3.16E-02
hsa-miR-20b-5p,0.16,1.17,1.08-1.27,1.34E-04
hsa-miR-6774-3p,0.16,1.17,1.02-1.35,2.23E-02
hsa-miR-296-5p,0.15,1.16,1-1.34,4.31E-02
hsa-miR-363-3p,0.14,1.16,1.06-1.26,6.53E-04
hsa-miR-584-5p,0.15,1.16,1.03-1.3,1.19E-02
hsa-miR-6503-5p,0.15,1.16,1.06-1.27,1.90E-03
hsa-miR-141-5p,0.14,1.15,1.01-1.32,3.95E-02
hsa-miR-22-5p,0.14,1.15,1.01-1.32,3.54E-02
hsa-miR-4454,0.14,1.15,1.01-1.32,3.87E-02
hsa-miR-20b-3p,0.13,1.14,1.05-1.24,2.05E-03
hsa-miR-151a-3p,0.12,1.13,1.02-1.25,1.49E-02
hsa-miR-508-3p,0.12,1.13,1.02-1.24,1.97E-02
hsa-miR-196b-5p,0.12,1.12,1.05-1.21,1.51E-03
hsa-miR-511-5p,0.12,1.12,1.01-1.25,2.78E-02
hsa-miR-675-3p,0.11,1.12,1.01-1.24,3.74E-02
hsa-miR-196a-5p,0.1,1.11,1-1.22,4.64E-02
hsa-miR-582-5p,0.09,1.1,1.01-1.19,2.95E-02
hsa-miR-551b-3p,0.09,1.09,1.02-1.17,7.59E-03
hsa-miR-598-3p,0.08,1.09,1-1.18,4.63E-02
hsa-miR-10a-3p,0.08,1.08,1.01-1.16,2.16E-02
hsa-miR-10a-5p,0.07,1.07,1.01-1.13,1.85E-02
hsa-miR-9-5p,0.07,1.07,1-1.14,3.60E-02
hsa-miR-127-3p,-0.07,0.94,0.88-0.99,2.94E-02
hsa-miR-127-5p,-0.07,0.93,0.87-1,3.61E-02
hsa-miR-203a-3p,-0.08,0.92,0.86-0.99,2.38E-02
hsa-miR-125b-5p,-0.09,0.91,0.84-0.99,2.49E-02
hsa-miR-154-5p,-0.09,0.91,0.84-0.99,3.67E-02
hsa-miR-381-3p,-0.09,0.91,0.85-0.98,8.49E-03
hsa-miR-889-3p,-0.09,0.91,0.83-1,4.65E-02
hsa-miR-100-5p,-0.11,0.9,0.84-0.96,1.13E-03
hsa-miR-136-5p,-0.11,0.9,0.83-0.98,1.38E-02
hsa-miR-323a-3p,-0.11,0.9,0.82-0.98,2.15E-02
hsa-miR-409-5p,-0.1,0.9,0.81-1,4.30E-02
hsa-miR-376c-3p,-0.11,0.89,0.81-0.98,1.55E-02
hsa-miR-758-5p,-0.11,0.89,0.8-1,4.49E-02
hsa-miR-181c-5p,-0.13,0.88,0.79-0.99,3.46E-02
hsa-miR-551a,-0.12,0.88,0.79-0.98,2.51E-02
hsa-miR-142-3p,-0.14,0.87,0.76-1,4.93E-02
hsa-miR-195-5p,-0.14,0.87,0.77-0.98,2.43E-02
hsa-miR-3653-3p,-0.13,0.87,0.78-0.98,2.19E-02
hsa-let-7a-2-3p,-0.15,0.86,0.79-0.93,1.47E-04
hsa-miR-181a-5p,-0.16,0.86,0.77-0.96,6.65E-03
hsa-miR-181b-5p,-0.15,0.86,0.77-0.96,8.58E-03
hsa-miR-224-3p,-0.15,0.86,0.75-0.99,3.00E-02
hsa-miR-654-5p,-0.16,0.86,0.74-0.99,3.04E-02
hsa-miR-181a-2-3p,-0.16,0.85,0.76-0.96,1.07E-02
hsa-miR-181a-3p,-0.16,0.85,0.76-0.96,6.58E-03
hsa-miR-181b-3p,-0.16,0.85,0.76-0.96,5.73E-03
hsa-miR-3157-3p,-0.16,0.85,0.74-0.98,2.93E-02
hsa-miR-377-3p,-0.16,0.85,0.73-1,4.47E-02
hsa-miR-411-3p,-0.16,0.85,0.73-1,4.99E-02
hsa-miR-6724-5p,-0.18,0.84,0.72-0.98,2.69E-02
hsa-miR-134-3p,-0.18,0.83,0.7-1,4.41E-02
hsa-miR-181c-3p,-0.18,0.83,0.74-0.93,1.82E-03
hsa-miR-431-5p,-0.19,0.83,0.71-0.96,1.21E-02
hsa-miR-6087,-0.19,0.83,0.72-0.96,9.87E-03
hsa-miR-381-5p,-0.19,0.82,0.68-0.99,4.27E-02
hsa-miR-4488,-0.19,0.82,0.7-0.98,2.44E-02
