miRNA,coefficient,HR,CI_95%,p_value_wald_test
hsa-miR-500b-3p,0.32,1.37,1.17-1.6,7.58E-05
hsa-miR-362-5p,0.3,1.34,1.18-1.53,6.97E-06
hsa-miR-188-3p,0.26,1.29,1.09-1.53,2.90E-03
hsa-miR-188-5p,0.25,1.28,1.13-1.45,1.35E-04
hsa-miR-362-3p,0.24,1.27,1.11-1.45,4.69E-04
hsa-miR-532-5p,0.23,1.26,1.1-1.43,5.34E-04
hsa-miR-660-5p,0.23,1.26,1.1-1.45,9.57E-04
hsa-miR-500a-5p,0.22,1.25,1.1-1.42,8.09E-04
hsa-miR-500a-3p,0.22,1.24,1.09-1.42,1.26E-03
hsa-miR-501-3p,0.21,1.24,1.1-1.39,3.05E-04
hsa-miR-532-3p,0.21,1.24,1.09-1.41,1.32E-03
hsa-miR-502-3p,0.2,1.23,1.06-1.42,5.38E-03
hsa-miR-501-5p,0.19,1.21,1.05-1.4,8.70E-03
