miRNA,coefficient,HR,CI_95%,p_value_wald_test
hsa-miR-4657,-4.73,0.01,0-0.87,4.33E-02
hsa-miR-1278,-1.69,0.19,0.04-0.89,3.53E-02
hsa-miR-1273d,-1.3,0.27,0.08-0.97,4.55E-02
hsa-miR-6715b-3p,-1.13,0.32,0.14-0.74,7.35E-03
hsa-miR-100-3p,-0.99,0.37,0.15-0.95,3.91E-02
hsa-miR-6797-3p,-0.82,0.44,0.2-0.98,4.51E-02
hsa-miR-125b-1-3p,-0.73,0.48,0.24-0.95,3.40E-02
hsa-miR-652-5p,-0.71,0.49,0.27-0.9,2.12E-02
hsa-miR-4742-3p,-0.59,0.55,0.31-0.99,4.43E-02
hsa-miR-4677-5p,-0.49,0.61,0.41-0.91,1.60E-02
hsa-miR-4777-3p,-0.5,0.61,0.38-0.98,4.03E-02
hsa-miR-30c-5p,-0.45,0.64,0.47-0.87,5.15E-03
hsa-miR-6803-3p,-0.43,0.65,0.43-0.97,3.70E-02
hsa-miR-6879-3p,-0.42,0.65,0.44-0.97,3.42E-02
hsa-miR-323a-3p,-0.42,0.66,0.44-0.99,4.37E-02
hsa-miR-224-3p,-0.38,0.68,0.47-1,4.71E-02
hsa-miR-491-5p,-0.38,0.68,0.5-0.94,1.84E-02
hsa-miR-6515-3p,-0.39,0.68,0.46-0.99,4.36E-02
hsa-miR-484,-0.36,0.69,0.53-0.9,6.59E-03
hsa-let-7d-3p,-0.34,0.71,0.53-0.95,2.09E-02
hsa-miR-181a-5p,-0.32,0.72,0.61-0.86,1.97E-04
hsa-miR-30e-5p,-0.31,0.73,0.55-0.98,3.44E-02
hsa-miR-3651,-0.32,0.73,0.55-0.97,2.91E-02
hsa-miR-551a,-0.32,0.73,0.59-0.9,3.77E-03
hsa-miR-140-3p,-0.3,0.74,0.56-0.97,3.21E-02
hsa-miR-30d-3p,-0.31,0.74,0.55-0.98,3.46E-02
hsa-miR-425-5p,-0.31,0.74,0.6-0.91,4.67E-03
hsa-miR-148b-3p,-0.29,0.75,0.59-0.95,1.60E-02
hsa-miR-24-3p,-0.26,0.77,0.61-0.98,3.72E-02
hsa-miR-197-3p,-0.25,0.78,0.61-0.99,4.10E-02
hsa-miR-342-5p,-0.24,0.79,0.62-1,4.88E-02
hsa-miR-128-3p,-0.23,0.8,0.66-0.97,2.24E-02
hsa-miR-142-3p,-0.23,0.8,0.68-0.93,5.11E-03
hsa-miR-26b-3p,-0.21,0.81,0.67-0.99,3.54E-02
hsa-miR-342-3p,-0.21,0.81,0.66-1,4.58E-02
hsa-miR-5701,-0.21,0.81,0.67-0.99,4.17E-02
hsa-miR-181b-5p,-0.2,0.82,0.7-0.95,9.85E-03
