"","Name","Score"
"KDM5B","KDM5B",0.000525191694968664
"DNMT3A","DNMT3A",0.000560204474633241
"ZNRF1","ZNRF1",0.000700255593291551
"HNRNPDL","HNRNPDL",0.00101537061027275
"RPL14","RPL14",0.0017156262035643
"RPS6","RPS6",0.00178565176289346
"ZNF70","ZNF70",0.00262595847484332
"RBM8A","RBM8A",0.00262595847484332
"ATP2C1","ATP2C1",0.00283603515283078
"ZNF608","ZNF608",0.00336122684779945
"SMARCC1","SMARCC1",0.00448163579706593
"PCED1A","PCED1A",0.00448163579706593
"RAVER2","RAVER2",0.00507685305136375
"NAP1L1","NAP1L1",0.00654738979727601
"ZNF248","ZNF248",0.0100836805433983
"CAMK2G","CAMK2G",0.0198522460698155
"VAMP1","VAMP1",0.0249641119008438
"CRIPT","CRIPT",0.0249641119008438
"DCAF17","DCAF17",0.0252092013584959
"USP46","USP46",0.0376387381394209
"MRRF","MRRF",0.0378138020377438
"RYK","RYK",0.0419102972584993
"KIAA1586","KIAA1586",0.0420153355974931
"CHD9","CHD9",0.0428556423094429
"SLC25A14","SLC25A14",0.0468821119708694
"RIMKLB","RIMKLB",0.057525996988901
"ADAM22","ADAM22",0.0579811631245404
"SF3A3","SF3A3",0.0588214698364903
"ZKSCAN1","ZKSCAN1",0.0669094219390077
"MAPKAPK3","MAPKAPK3",0.068625048142572
"ZC3H14","ZC3H14",0.070865866041105
"SURF2","SURF2",0.0717061727530549
"BDP1","BDP1",0.0720913133293652
"SETD9","SETD9",0.0738419523125941
"IGDCC4","IGDCC4",0.0740520289905816
"PCGF3","PCGF3",0.0747522845838731
"LEP","LEP",0.0760127446517979
"NKD1","NKD1",0.0837505689576696
"CCNG1","CCNG1",0.0856062462798922
"TMEM106B","TMEM106B",0.0921536360771682
"PDCD4","PDCD4",0.0941143517383845
"KIN","KIN",0.0983158852981338
"EPC1","EPC1",0.100941843772977
"ZNF667","ZNF667",0.102972584993523
"TBC1D15","TBC1D15",0.104198032281783
"GTDC1","GTDC1",0.109239872553482
"PURB","PURB",0.113336367774238
"HNRNPA3","HNRNPA3",0.127726620216379
"CCDC43","CCDC43",0.133993907776338
"GATAD2B","GATAD2B",0.137495185742796
"PPM1A","PPM1A",0.140646335912608
"G6PC3","G6PC3",0.141171527607577
"ITGB8","ITGB8",0.154021217744477
"NUDT5","NUDT5",0.155001575575085
"PRPF4B","PRPF4B",0.162319246524982
"MTMR4","MTMR4",0.175939217814502
"PAPOLG","PAPOLG",0.180350828052239
"MBD5","MBD5",0.19519624663002
"KCNK12","KCNK12",0.197191975070901
"HSPA9","HSPA9",0.19971289520675
"NFATC2IP","NFATC2IP",0.204159518224152
"ZNF250","ZNF250",0.20598018276671
"TTC14","TTC14",0.206715451139666
"ITGA11","ITGA11",0.212877700360632
"SNX16","SNX16",0.217254297818704
"KIAA1919","KIAA1919",0.221525856937782
"RNF121","RNF121",0.221560869717447
"KLHL11","KLHL11",0.223941738734638
"C11orf31","C11orf31",0.223941738734638
"ARPP19","ARPP19",0.235285879345961
"CTNNBL1","CTNNBL1",0.243408844228143
"CRP","CRP",0.250516438500053
"GPR137C","GPR137C",0.251776898567977
"YY1","YY1",0.252652218059592
"TWIST1","TWIST1",0.26609712545079
"CEP57L1","CEP57L1",0.271419067959805
"HCN1","HCN1",0.275375512061903
"CLPX","CLPX",0.280137250096285
"BNC2","BNC2",0.284898988130668
"DDHD1","DDHD1",0.286439550435909
"SH3PXD2A","SH3PXD2A",0.291166275690627
"KLHL7","KLHL7",0.30251041630195
"LRP6","LRP6",0.303455761352894
"FAM208B","FAM208B",0.32155736843948
"GAN","GAN",0.326214068134869
"BRF2","BRF2",0.342845138475544
"BLOC1S5","BLOC1S5",0.349007387696509
"SLC39A8","SLC39A8",0.350302860544099
"CACNB4","CACNB4",0.357130352578691
"MED1","MED1",0.367914288715381
"PTEN","PTEN",0.371450579461503
"UBAP2L","UBAP2L",0.380763978852281
"ZNF536","ZNF536",0.391442876649977
"C11orf87","C11orf87",0.394944154616435
"MKL2","MKL2",0.402086761668009
"NPAS3","NPAS3",0.407688806414341
"SH3BGRL2","SH3BGRL2",0.413535940618326
"HMGB3","HMGB3",0.415951822415182
"SP8","SP8",0.423409544483737
"EXOC5","EXOC5",0.429291691467386
"TTN","TTN",0.429816883162354
"TPR","TPR",0.442036343265292
"BAG1","BAG1",0.470571758691923
"CTDSPL2","CTDSPL2",0.483071321032177
"ZFP91","ZFP91",0.486957739574945
"GREB1","GREB1",0.487097790693603
"NYAP2","NYAP2",0.489898813066769
"FOXP1","FOXP1",0.495815972830083
"TULP4","TULP4",0.503308707678302
"BACE1","BACE1",0.504184027169917
"CXCL2","CXCL2",0.520710059171598
"SMAD2","SMAD2",0.524351388256714
"SRRM2","SRRM2",0.526977346731557
"TMEM168","TMEM168",0.530478624698015
"NUDT3","NUDT3",0.536955988935962
"NUAK1","NUAK1",0.54451874934351
"YIPF6","YIPF6",0.54497391547915
"COPS2","COPS2",0.56402086761668
"ARID2","ARID2",0.592976436399286
"TLL2","TLL2",0.613949091418368
"MDH2","MDH2",0.621301775147929
"RAB11A","RAB11A",0.642834634641644
"GALNT3","GALNT3",0.656839746507475
"XRCC5","XRCC5",0.67056475613599
"KLF12","KLF12",0.678547669899513
"PDE3A","PDE3A",0.690627078883793
"SLC7A11","SLC7A11",0.722523721158223
"TMEM254","TMEM254",0.740415251566822
"RABIF","RABIF",0.741045481600784
"MLLT3","MLLT3",0.752949826686741
"TMEM236","TMEM236",0.770281152620707
"TEAD1","TEAD1",0.781485242113371
"ZNF148","ZNF148",0.79240922936872
"GNB4","GNB4",0.81849375021883
"SMIM10","SMIM10",0.823500577710864
