gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
HNRNPDL,-0.283102568,-5.52947351,3.21193E-08,Kendall's rank correlation tau,two.sided,231,1
PCED1A,-0.277322221,-5.416573528,6.0752E-08,Kendall's rank correlation tau,two.sided,230,2
RBM8A,-0.273154994,-5.335180518,9.54495E-08,Kendall's rank correlation tau,two.sided,229,3
DNMT3A,-0.269928754,-5.272166575,1.34823E-07,Kendall's rank correlation tau,two.sided,228,4
ZNF70,-0.264148407,-5.159266594,2.47919E-07,Kendall's rank correlation tau,two.sided,227,5
ZNRF1,-0.262669714,-5.130385203,2.8915E-07,Kendall's rank correlation tau,two.sided,226,6
RPL14,-0.25715822,-5.022736384,5.09404E-07,Kendall's rank correlation tau,two.sided,225,7
KDM5B,-0.24828606,-4.84944804,1.23805E-06,Kendall's rank correlation tau,two.sided,224,8
ATP2C1,-0.236322086,-4.615771334,3.91638E-06,Kendall's rank correlation tau,two.sided,223,9
RPS6,-0.234036833,-4.571136458,4.85086E-06,Kendall's rank correlation tau,two.sided,222,10
ZNF608,-0.225836806,-4.410976019,1.02906E-05,Kendall's rank correlation tau,two.sided,221,11
SMARCC1,-0.216023659,-4.219308609,2.45053E-05,Kendall's rank correlation tau,two.sided,220,12
SLC25A14,-0.213603979,-4.172048151,3.01874E-05,Kendall's rank correlation tau,two.sided,219,13
NAP1L1,-0.212528566,-4.151043504,3.30963E-05,Kendall's rank correlation tau,two.sided,218,14
CCNG1,-0.208630192,-4.074901656,4.60338E-05,Kendall's rank correlation tau,two.sided,217,15
SURF2,-0.190751445,-3.725699388,0.000194774,Kendall's rank correlation tau,two.sided,216,16
RAVER2,-0.188869472,-3.688941254,0.000225189,Kendall's rank correlation tau,two.sided,215,17
ZNF248,-0.179594031,-3.507776168,0.000451869,Kendall's rank correlation tau,two.sided,214,18
NUDT5,-0.173141551,-3.381748281,0.000720261,Kendall's rank correlation tau,two.sided,213,19
MAPKAPK3,-0.168974325,-3.300355272,0.000965625,Kendall's rank correlation tau,two.sided,212,20
CAMK2G,-0.168302191,-3.287227367,0.001011791,Kendall's rank correlation tau,two.sided,211,21
CTNNBL1,-0.160102164,-3.127066928,0.001765597,Kendall's rank correlation tau,two.sided,210,22
VAMP1,-0.157413631,-3.074555309,0.002108166,Kendall's rank correlation tau,two.sided,209,23
GTDC1,-0.154725097,-3.022043689,0.002510743,Kendall's rank correlation tau,two.sided,208,24
MBD5,-0.152708697,-2.982659975,0.002857553,Kendall's rank correlation tau,two.sided,207,25
C11orf31,-0.149885737,-2.927522775,0.00341674,Kendall's rank correlation tau,two.sided,206,26
CRIPT,-0.149616884,-2.922271613,0.003474884,Kendall's rank correlation tau,two.sided,205,27
RNF121,-0.149482457,-2.919646032,0.003504292,Kendall's rank correlation tau,two.sided,204,28
DCAF17,-0.148810324,-2.906518127,0.003654757,Kendall's rank correlation tau,two.sided,203,29
SF3A3,-0.148675897,-2.903892546,0.003685546,Kendall's rank correlation tau,two.sided,202,30
RIMKLB,-0.148138191,-2.893390222,0.003811075,Kendall's rank correlation tau,two.sided,201,31
BRF2,-0.148003764,-2.890764641,0.003843058,Kendall's rank correlation tau,two.sided,200,32
MRRF,-0.14329883,-2.798869307,0.005128189,Kendall's rank correlation tau,two.sided,199,33
USP46,-0.139131604,-2.717476298,0.006578187,Kendall's rank correlation tau,two.sided,198,34
CHD9,-0.13845947,-2.704348393,0.006843849,Kendall's rank correlation tau,two.sided,197,35
ADAM22,-0.135367657,-2.643960031,0.008194233,Kendall's rank correlation tau,two.sided,196,36
SETD9,-0.130931577,-2.557315859,0.010548339,Kendall's rank correlation tau,two.sided,195,37
CEP57L1,-0.12999059,-2.538936792,0.011118991,Kendall's rank correlation tau,two.sided,194,38
PURB,-0.126898777,-2.47854843,0.01319182,Kendall's rank correlation tau,two.sided,193,39
KIAA1586,-0.126226643,-2.465420525,0.013685253,Kendall's rank correlation tau,two.sided,192,40
RYK,-0.12595779,-2.460169363,0.013887146,Kendall's rank correlation tau,two.sided,191,41
G6PC3,-0.12434467,-2.428662392,0.015154637,Kendall's rank correlation tau,two.sided,190,42
CCDC43,-0.121252857,-2.368274029,0.017871294,Kendall's rank correlation tau,two.sided,189,43
