gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
KDM5B,-0.354617556,-6.926282583,4.32043E-12,Kendall's rank correlation tau,two.sided,225,1
ZNRF1,-0.286463234,-5.595113034,2.20478E-08,Kendall's rank correlation tau,two.sided,224,2
RPS6,-0.271407447,-5.301047966,1.1514E-07,Kendall's rank correlation tau,two.sided,223,3
DNMT3A,-0.268718914,-5.248536347,1.53312E-07,Kendall's rank correlation tau,two.sided,222,4
RAVER2,-0.254469687,-4.970224764,6.68753E-07,Kendall's rank correlation tau,two.sided,221,5
ZNF608,-0.248017207,-4.844196878,1.27125E-06,Kendall's rank correlation tau,two.sided,220,6
RPL14,-0.241968006,-4.726045735,2.28934E-06,Kendall's rank correlation tau,two.sided,219,7
SMARCC1,-0.236322086,-4.615771334,3.91638E-06,Kendall's rank correlation tau,two.sided,218,8
ATP2C1,-0.232423713,-4.539629486,5.63532E-06,Kendall's rank correlation tau,two.sided,217,9
ZNF70,-0.232423713,-4.539629486,5.63532E-06,Kendall's rank correlation tau,two.sided,217,9
NAP1L1,-0.225299099,-4.400473695,1.08015E-05,Kendall's rank correlation tau,two.sided,216,10
ZNF248,-0.217636779,-4.25081558,2.12993E-05,Kendall's rank correlation tau,two.sided,215,11
LEP,-0.195456379,-3.817594721,0.000134759,Kendall's rank correlation tau,two.sided,214,12
RBM8A,-0.194246539,-3.793964493,0.000148261,Kendall's rank correlation tau,two.sided,213,13
HNRNPDL,-0.191423578,-3.738827292,0.000184881,Kendall's rank correlation tau,two.sided,212,14
PDCD4,-0.185643232,-3.625927311,0.000287926,Kendall's rank correlation tau,two.sided,211,15
ZNF667,-0.148272617,-2.896015803,0.003779334,Kendall's rank correlation tau,two.sided,210,16
DCAF17,-0.148138191,-2.893390222,0.003811075,Kendall's rank correlation tau,two.sided,209,17
RYK,-0.146928351,-2.869759993,0.004107835,Kendall's rank correlation tau,two.sided,208,18
KIAA1586,-0.145046377,-2.83300186,0.004611312,Kendall's rank correlation tau,two.sided,207,19
ZKSCAN1,-0.14329883,-2.798869307,0.005128189,Kendall's rank correlation tau,two.sided,206,20
ZC3H14,-0.142761124,-2.788366984,0.00529745,Kendall's rank correlation tau,two.sided,205,21
CRIPT,-0.141416857,-2.762111174,0.005742892,Kendall's rank correlation tau,two.sided,204,22
CAMK2G,-0.141148004,-2.756860012,0.005835933,Kendall's rank correlation tau,two.sided,203,23
USP46,-0.137115204,-2.678092583,0.007404275,Kendall's rank correlation tau,two.sided,202,24
NKD1,-0.134157817,-2.620329802,0.008784477,Kendall's rank correlation tau,two.sided,201,25
VAMP1,-0.134157817,-2.620329802,0.008784477,Kendall's rank correlation tau,two.sided,201,25
TMEM106B,-0.12918403,-2.523183306,0.011629776,Kendall's rank correlation tau,two.sided,200,26
BDP1,-0.128646323,-2.512680982,0.011981763,Kendall's rank correlation tau,two.sided,199,27
MRRF,-0.12716763,-2.483799592,0.012998894,Kendall's rank correlation tau,two.sided,198,28
EPC1,-0.126898777,-2.47854843,0.01319182,Kendall's rank correlation tau,two.sided,197,29
HNRNPA3,-0.125285657,-2.447041458,0.014403427,Kendall's rank correlation tau,two.sided,196,30
PCED1A,-0.123269257,-2.407657744,0.016055225,Kendall's rank correlation tau,two.sided,195,31
CHD9,-0.122059417,-2.384027515,0.017124322,Kendall's rank correlation tau,two.sided,194,32
PCGF3,-0.11990859,-2.34201822,0.019179779,Kendall's rank correlation tau,two.sided,193,33
TTC14,-0.117220056,-2.2895066,0.022049935,Kendall's rank correlation tau,two.sided,192,34
ZNF250,-0.116010216,-2.265876372,0.023458954,Kendall's rank correlation tau,two.sided,191,35
PRPF4B,-0.11426267,-2.231743819,0.025631899,Kendall's rank correlation tau,two.sided,190,36
PPM1A,-0.112380696,-2.194985686,0.028164625,Kendall's rank correlation tau,two.sided,189,37
